study_id,cmoc_id,study_title,year,doi,source_id,source_text_path,evidence_level,source_text_length,model_pts,model_polarity,model_context_code,model_context_text,model_intervention_code,model_intervention_text,model_mechanism_code,model_mechanism_text,model_outcome_code,model_outcome_text,model_relationship_triples,evidence_quote,quote_support_context,quote_support_intervention,quote_support_mechanism,quote_support_outcome,evidence_support_score,human_corrected_context,human_corrected_intervention,human_corrected_mechanism,human_corrected_outcome,human_corrected_triples,human_corrected_pts,decision_status,review_priority,ai_adjudication_confidence,error_category,reviewer_notes
S023,S023_CMOC1,A Serious Game Can Be a Valid Method to Train Clinical,2014,10.1007/s00268-014-2743-4,s00268-014-2743-4.pdf,d:\LLM-Knowledge-Graph\graphrag\input\s00268-014-2743-4.pdf.txt,Full-text,28981,PTS2,Positive,E03,students with high clinical domain-specific knowledge,E10,"real-life scenarios, including simulation and simulated patients",E39,build upon what they already know,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E10-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E46,"C: Surgeons solved more cases correctly (mean 77 %) than surgical residents (67 %), interns (60 %), master-degree students (50 %), and bachelor-degree students (39 % ( p< 0.01). | I: A serious game was developed to train surgical residents in clinical decision-making regarding biliary tract disease. | M: Players are required to develop and test hypotheses to overcome a given challenge relating to experiential learning. | O: Trainees performed significantly better in their second play session than in the first (median 72 vs. 48 %, p = 0.00).",exact,exact,partial_8_word,partial_8_word,0.875,E03,E10,E39,E46,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E46,PTS2,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.806,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: outcome:E46_not_in_E25/E30/E43/E44; predicate aliases normalized: no."
S023,S023_CMOC2,A Serious Game Can Be a Valid Method to Train Clinical,2014,10.1007/s00268-014-2743-4,s00268-014-2743-4.pdf,d:\LLM-Knowledge-Graph\graphrag\input\s00268-014-2743-4.pdf.txt,Full-text,28981,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,"C: Of the students, 8 of 17 found the game frustrating (compared to 1 of 11 trainees and 1 of 6 experts). | I: The performance of the participants was automatically measured through the following parameters: correct, incorrect, or neither correct/incorrect solution. | M: Of the students, 8 of 17 found the game frustrating. | O: The majority perceived the game as fun (91.2 %), challenging (85.3 %), and would recommend the game to educate their colleagues (81.8 %).",partial_8_word,exact,partial_8_word,exact,0.875,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S024,S024_CMOC1,Casebook: a virtual patient iPad application for teaching decision-making through the use of electronic health records,2014,10.1186/1472-6947-14-66,1472-6947-14-66.pdf,d:\LLM-Knowledge-Graph\graphrag\input\1472-6947-14-66.pdf.txt,Full-text,44685,PTS3,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,"C: students feel they are not prepared for clinical work: evidence shows that they feel unprepared for standard, typical patient presentations and common conditions. | I: students learn decision-making skills by observing and interacting with real patient cases in this simulated environment. | M: students can gain an understanding into the thought processes and clinical reasoning of the physician who worked on the patient. | O: learning theory research has shown that students learn decision-making skills best when they have access to multitudes of patient cases.",exact,exact,exact,exact,1.0,E02,E10,E27,E46,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.85,pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: context:E02_not_in_E04, outcome:E46_not_in_E22/E28/E40/E41; predicate aliases normalized: no."
S024,S024_CMOC2,Casebook: a virtual patient iPad application for teaching decision-making through the use of electronic health records,2014,10.1186/1472-6947-14-66,1472-6947-14-66.pdf,d:\LLM-Knowledge-Graph\graphrag\input\1472-6947-14-66.pdf.txt,Full-text,44685,PTS5,Positive,E06,students with different levels of knowledge within a group,E07,an expert's reasoning processes or thoughts are explicitly revealed and discussed,E39,build upon what they already know,E43,complete illness scripts,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E43,"C: the plurality required is not present in their education, and is considered to be a major challenge. | I: annotations can be defined as physician notes that have been added to electronic health records for the purpose of providing some insight for the student into the physician’s decision-making rationale. | M: students can gain an understanding into the thought processes and clinical reasoning of the physician who worked on the patient. | O: the more experience a student has, the more likely they will make a correct diagnosis from the data available to them.",exact,exact,exact,exact,1.0,E06,E07,E39,E43,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E43,PTS5,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S025,S025_CMOC1,Ineffectiveness of cognitive forcing strategies,2014,10.2310/8000.2013.130860,div-class-title-ineffectiveness-of-cognitive-forcing-strategies-to-reduce-biases-in-diagnostic-reasoning-.pdf,d:\LLM-Knowledge-Graph\graphrag\input\div-class-title-ineffectiveness-of-cognitive-forcing-strategies-to-reduce-biases-in-diagnostic-reasoning-.pdf.txt,Full-text,31012,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E08,instructed to use analytical reasoning alone,E45,confusion,E36,poor illness script development,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: students lacking confidence in their diagnostic intuitions | I: CFS training... aimed to reduce diagnostic error by promoting analytic reasoning. | M: students became confused about when to apply the rules. | O: the interventions... failed to show any reduction in diagnostic error by novices.,not_found,not_found,not_found,partial_8_word,0.383,E05,E08,E45,E36,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.634,weak_quote_support; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 1/4; chain issues: intervention:E08_not_in_E09/E10/E14; predicate aliases normalized: no."
S025,S025_CMOC2,Ineffectiveness of cognitive forcing strategies,2014,10.2310/8000.2013.130860,div-class-title-ineffectiveness-of-cognitive-forcing-strategies-to-reduce-biases-in-diagnostic-reasoning-.pdf,d:\LLM-Knowledge-Graph\graphrag\input\div-class-title-ineffectiveness-of-cognitive-forcing-strategies-to-reduce-biases-in-diagnostic-reasoning-.pdf.txt,Full-text,31012,PTS4,Negative,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E14,"feedback is absent, incomplete or contains errors",E23,frustrated,E38,negative learning outcomes,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E23; E23-[LEADS_TO]->E38,C: students with limited diagnostic experience | I: the educational interventions... failed to show any reduction in diagnostic error. | M: students expressed frustration with the lack of effective feedback. | O: the interventions... did not improve diagnostic accuracy.,not_found,partial_8_word,not_found,not_found,0.341,E02,E14,E23,E38,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E23; E23-[LEADS_TO]->E38,PTS1,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.619,weak_quote_support; pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 1/4; chain issues: context:E02_not_in_E05; predicate aliases normalized: no."
S026,S026_CMOC1,Does medical students’ diagnostic performance improve by observing examples of self-explanation provided by peers or experts?,2015,10.1007/s10459-014-9576-7,s10459-014-9576-7.pdf,d:\LLM-Knowledge-Graph\graphrag\input\s10459-014-9576-7.pdf.txt,Full-text,40069,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E17,listen to near-peer think aloud their reasoning with the use of prompts and examples,E27,build understanding,E25,high diagnostic accuracy,E17-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,"C: Fifty-three third-year medical students were assigned to a peer SE example, an expert SE example or control (no example) group. | I: students improved significantly their diagnostic performance overtime but the main effect of group was not significant. | M: Through SE, students engage in knowledge elaboration, generation of inferences, integration of new information with prior knowledge. | O: students who generated SE while solving clinical cases demonstrated better diagnostic performance 1 week later.",exact,partial_8_word,exact,exact,0.938,E02,E17,E27,E25,E17-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: intervention:E17_not_in_E07/E15/E18; predicate aliases normalized: no."
S026,S026_CMOC2,Does medical students’ diagnostic performance improve by observing examples of self-explanation provided by peers or experts?,2015,10.1007/s10459-014-9576-7,s10459-014-9576-7.pdf,d:\LLM-Knowledge-Graph\graphrag\input\s10459-014-9576-7.pdf.txt,Full-text,40069,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E38,negative learning outcomes,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E38,"C: the results may differ if examples of intermediate levels of expertise (e.g., residents) are tested. | I: students were not given prompts or other specific tasks to ensure that they listened actively to the examples. | M: students may have been passive, even though their prior SE on the same case was expected to act as a preparatory task. | O: there seems to be limited value of adding SE examples, at least examples from peers or experts.",exact,partial_8_word,partial_8_word,exact,0.875,E05,E14,E45,E38,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E38,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S027,S027_CMOC1,Self&#x2010;explanation in learning clinical reasoning: the added value of examples and prompts,2015,10.1111/medu.12623,EBSCO-FullText-01_02_2026 (8).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (8).pdf.txt,Full-text,42954,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E17,listen to near-peer think aloud their reasoning with the use of prompts and examples,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E17-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,"C: students’ exposure to adapted examples of clinical reasoning is important, but their active processing of these examples seems critical. | I: Group 1 listened to examples of residents’ SEs with prompts. | M: students reported that listening to residents’ examples helped them to elaborate further on their own ideas. | O: Group 1 showed a signiﬁcantly higher diagnostic performance score after 1 week than the control group.",exact,exact,exact,exact,1.0,E04,E17,E27,E46,E17-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS3,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.85,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: intervention:E17_not_in_E09/E10/E11, outcome:E46_not_in_E22/E28/E40/E41; predicate aliases normalized: no."
S027,S027_CMOC2,Self&#x2010;explanation in learning clinical reasoning: the added value of examples and prompts,2015,10.1111/medu.12623,EBSCO-FullText-01_02_2026 (8).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (8).pdf.txt,Full-text,42954,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E42,develop understanding of their successes and failures and generate plans for improvement,E44,successful non-analytical reasoning in the future,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E42; E42-[LEADS_TO]->E44,C: students’ exposure to adapted examples of clinical reasoning is important. | I: the addition of prompts (specific questions) while working with examples. | M: prompts presumably engaged students in additional SE while they listened to the example. | O: Group 1 obtained signiﬁcantly higher diagnostic accuracy and diagnostic performance scores than the control group.,exact,not_found,exact,partial_8_word,0.752,E02,E18,E42,E44,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E42; E42-[LEADS_TO]->E44,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.763,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: mechanism:E42_not_in_E20/E27, outcome:E44_not_in_E25/E29/E30; predicate aliases normalized: no."
S028,S028_CMOC1,Test&#x2010;enhanced learning of clinical reasoning: a crossover randomised trial,2016,10.1111/medu.13069,EBSCO-FullText-01_02_2026 (11).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (11).pdf.txt,Full-text,43408,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E24,rely on non-analytical reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E24-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: Year 4 medical students attended 10 weekly computer-based seminars. | I: the intervention condition used the same content but augmented case presentation with a sequence of key feature questions. | M: the observed score difference can be attributed to an effect of repeated testing on the storage and retrieval of knowledge. | O: mean student scores on intervention items were significantly higher than those on control items.,not_found,exact,exact,not_found,0.666,E02,E24,E27,E46,E24-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.733,weak_quote_support; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 2/4; chain issues: intervention:E24_not_in_E07/E15/E18, outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S028,S028_CMOC2,Test&#x2010;enhanced learning of clinical reasoning: a crossover randomised trial,2016,10.1111/medu.13069,EBSCO-FullText-01_02_2026 (11).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (11).pdf.txt,Full-text,43408,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E12,strategies that promote knowledge retention,E26,grateful for the learning experience,E22,positive learning experience,E12-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,C: students were more engaged and retained more procedural knowledge. | I: repeated testing with key feature questions is more effective than repeated case-based learning. | M: students expressed appreciation for the structured approach to learning. | O: students reported that the repeated testing improved their understanding.,not_found,exact,not_found,not_found,0.457,E04,E12,E26,E22,E12-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,PTS3,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.66,weak_quote_support; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 1/4; chain issues: intervention:E12_not_in_E09/E10/E11; predicate aliases normalized: no."
